USB PD Specification - Table Structure Summary
==================================================

Table No.  Page   Rows   Columns  Expected Cells  Actual Cells   
193        335    3      3        9               1              
194        342    26     18       468             35             
195        343    9      3        27              24             
196        345    23     18       414             36             
197        346    9      3        27              24             
198        348    23     18       414             36             
199        349    9      3        27              24             
200        351    10     9        90              18             
201        351    14     6        84              12             
202        352    7      3        21              19             
203        354    10     9        90              17             
204        354    8      3        24              5              
205        355    6      3        18              17             
206        357    10     10       100             13             
207        357    14     6        84              9              
208        358    8      3        24              22             
209        360    10     10       100             19             
210        360    5      3        15              14             
211        362    10     9        90              21             
212        362    3      4        12              3              
213        362    2      2        4               3              
214        362    7      3        21              3              
215        363    8      3        24              21             
216        365    10     10       100             17             
217        365    3      4        12              3              
218        365    7      3        21              3              
219        366    7      3        21              19             
220        368    7      9        63              8              
221        368    9      3        27              7              
222        369    6      3        18              17             
223        371    8      7        56              15             
224        371    9      3        27              7              
225        372    6      3        18              17             
226        374    35     11       385             28             
227        375    8      3        24              19             
228        377    35     11       385             28             
229        378    8      3        24              21             
230        380    6      6        36              8              
231        380    5      3        15              14             
232        382    7      9        63              13             
233        382    13     3        39              9              
234        383    6      3        18              17             
235        385    7      9        63              13             
236        385    9      3        27              7              
237        386    6      3        18              17             
238        387    6      8        48              12             
239        387    5      3        15              14             
240        389    25     22       550             45             
241        390    9      3        27              25             
242        391    3      3        9               8              
243        393    17     17       289             33             
244        394    9      3        27              26             
245        395    3      3        9               8              
246        397    8      4        32              7              
247        397    13     8        104             14             
248        397    6      3        18              16             
249        399    20     10       200             22             
250        399    7      3        21              16             
251        401    19     18       342             42             
252        401    5      2        10              3              
253        402    15     3        45              38             
254        403    4      3        12              12             
255        404    14     7        98              62             
256        405    12     7        84              59             
257        406    6      7        42              28             
258        407    9      8        72              40             
259        408    7      8        56              34             
260        409    9      8        72              50             
261        410    13     7        91              73             
262        411    12     7        84              61             
263        412    4      7        28              19             
264        413    12     7        84              55             
265        414    13     7        91              57             
266        415    9      7        63              44             
267        426    3      4        12              4              
268        426    3      3        9               4              
269        426    2      4        8               3              
270        426    2      3        6               2              
271        426    10     3        30              22             
272        427    3      4        12              4              
273        427    3      2        6               4              
274        427    3      4        12              3              
275        427    2      3        6               2              
276        427    6      2        12              10             
277        428    3      2        6               6              
278        428    3      3        9               3              
279        428    3      3        9               4              
280        428    3      3        9               3              
281        428    3      3        9               3              
282        428    5      6        30              6              
283        428    3      3        9               3              
284        428    3      2        6               4              
285        429    12     3        36              28             
286        430    28     3        84              82             
287        431    8      5        40              31             
288        432    4      5        20              20             
289        433    10     5        50              42             
290        434    2      5        10              10             
291        434    2      5        10              10             
292        434    5      5        25              22             
293        435    7      5        35              26             
294        435    2      5        10              10             
295        436    13     5        65              46             
296        437    7      5        35              26             
297        437    5      5        25              19             
298        438    5      5        25              19             
299        438    8      6        48              31             
300        439    8      5        40              31             
301        440    5      5        25              25             
302        440    5      5        25              23             
303        441    6      5        30              26             
304        441    4      5        20              18             
305        441    4      5        20              18             
306        442    4      5        20              18             
307        442    3      5        15              15             
308        442    7      5        35              30             
309        443    7      5        35              30             
310        444    15     5        75              58             
311        445    4      5        20              18             
312        445    7      5        35              25             
313        445    3      4        12              10             
314        446    4      6        24              22             
315        448    71     16       1136            93             
316        448    2      2        4               1              
317        448    2      2        4               2              
318        448    2      3        6               3              
319        449    15     3        45              34             
320        450    19     3        57              42             
321        451    8      3        24              16             
322        452    49     20       980             65             
323        452    2      3        6               2              
324        453    15     3        45              34             
325        454    14     3        42              32             
326        455    49     20       980             65             
327        455    2      3        6               3              
328        456    15     3        45              34             
329        457    14     3        42              32             
330        458    3      2        6               2              
331        458    45     15       675             56             
332        458    2      3        6               2              
333        458    3      2        6               2              
334        458    3      2        6               4              
335        458    2      2        4               2              
336        458    2      3        6               2              
337        458    2      2        4               2              
338        458    2      3        6               2              
339        458    2      4        8               3              
340        458    2      2        4               2              
341        459    14     3        42              31             
342        460    16     3        48              33             
343        461    45     16       720             55             
344        461    2      3        6               2              
345        461    3      2        6               2              
346        461    3      2        6               4              
347        461    2      2        4               2              
348        461    2      3        6               2              
349        461    2      2        4               2              
350        461    2      3        6               2              
351        461    2      4        8               3              
352        462    14     3        42              31             
353        463    16     3        48              32             
354        464    24     16       384             30             
355        464    2      3        6               2              
